PDBID,pK
1jj9,5.77000
1ddm,5.77000
1ur9,5.77000
1hmt,5.79000
1y57,5.79000
1rle,5.80000
1sgx,5.80000
1wug,5.80000
2i40,5.80000
1ppm,5.80000
1ggd,5.80000
1kpm,5.80000
1c3i,5.80000
1a8t,5.80000
1njb,5.80000
1dub,5.80000
1g3c,5.80000
1jlx,5.80000
1jvp,5.80000
1lkl,5.81000
1h8s,5.81000
1apb,5.82000
11gs,5.82000
3gss,5.82000
2nq6,5.82000
1vwn,5.82000
1urg,5.82000
1zyj,5.82000
1qm5,5.82000
1ols,5.82000
1ntv,5.82000
1lqe,5.82000
1ktt,5.82000
1kav,5.82000
1hdq,5.82000
1bbz,5.82000
1rri,5.82000
1qbn,5.85000
2bro,5.85000
1utz,5.85000
1tqf,5.85000
1q63,5.85000
1u1w,5.85000
1o2y,5.85000
1o2x,5.85000
1bdl,5.85000
1o2w,5.85000
1o2v,5.85000
1juf,5.85000
1k4g,5.85000
1ny0,5.85000
1o2u,5.85000
1q54,5.85000
1kl3,5.86000
2cm8,5.87000
2j9a,5.89000
2tmn,5.89000
1ydk,5.89000
1b3l,5.89000
1dzj,5.89000
2brm,5.89000
1ett,5.89000
1e1x,5.89000
1y8o,5.89000
2ew5,5.90000
1v2n,5.90000
2g01,5.91000
1ugx,5.91000
2c0o,5.91000
1vgc,5.92000
2g83,5.92000
2ans,5.92000
1yms,5.92000
1yds,5.92000
1qwe,5.92000
1kyv,5.92000
1qf2,5.92000
1aj6,5.92000
1a4w,5.92000
1qka,5.92000
1lvk,5.92000
1jao,5.92000
1pph,5.92000
1oay,5.92000
1o0h,5.92000
1ndv,5.92000
2hny,5.93000
1fv0,5.93000
1kv1,5.94000
2c4g,5.94000
3lpr,5.96000
2j79,5.96000
1t7r,5.96000
1q8u,5.96000
1p05,5.96000
1nl9,5.96000
1d6w,5.96000
1b9j,5.96000
2fhy,5.96000
1o36,5.96000
1uwt,5.97000
1x7e,5.97000
1uwu,5.98000
1njf,5.99000
1kl5,5.99000
6cgt,6.00000
3aig,6.00000
2izl,6.00000
2bvd,6.00000
2am1,6.00000
1zgv,6.00000
1xk5,6.00000
1xgj,6.00000
1uvr,6.00000
1tsm,6.00000
1tou,6.00000
1ssq,6.00000
1rpa,6.00000
1lvc,6.00000
1fpy,6.00000
1k03,6.00000
1a1e,6.00000
1ado,6.00000
1c5s,6.00000
1ke8,6.00000
1c8k,6.00000
1ceb,6.00000
1d2e,6.00000
1di8,6.00000
1f0q,6.00000
1f0t,6.00000
1hn2,6.00000
1i7g,6.00000
1jq8,6.00000
1h1q,6.00000
1ekb,6.00000
1gt1,6.00000
1ftl,6.00000
1f40,6.00000
1eb2,6.01000
1b5h,6.01000
1awf,6.01000
5er1,6.02000
1zz1,6.02000
1xlz,6.02000
1tcw,6.02000
1n8u,6.03000
1n8v,6.03000
1os0,6.03000
1sh9,6.03000
1t7d,6.03000
1fq8,6.03000
1okl,6.03000
1t79,6.04000
1xbo,6.04000
1z6p,6.05000
2a3i,6.05000
3pcf,6.05000
1llb,6.05000
1aq7,6.05000
1pxl,6.05000
1eoc,6.05000
1g7q,6.06000
1jmi,6.06000
1kjr,6.06000
1qb6,6.06000
1qnh,6.06000
2gst,6.07000
1zpb,6.07000
1c5f,6.07000
1jmg,6.07000
1mmp,6.07000
1o5f,6.07000
1xo2,6.07000
1awh,6.08000
1f4y,6.08000
1kz8,6.08000
1sri,6.08000
1y8p,6.08000
1tet,6.08000
1ftj,6.09000
1o2n,6.09000
1ogx,6.09000
1w9u,6.09000
2ewb,6.10000
2cvd,6.10000
2fum,6.10000
1meu,6.10000
1css,6.10000
1dzk,6.10000
1e00,6.10000
1tka,6.10000
1zxv,6.10000
1gt5,6.10000
1lgt,6.10000
1m2q,6.10000
1o2z,6.11000
1xxh,6.11000
1g32,6.11000
1m2p,6.11000
1gag,6.12000
1o2g,6.12000
1uu3,6.12000
1x8r,6.12000
2fgv,6.12000
1nc1,6.12000
1aku,6.13000
2ccu,6.13000
2fqt,6.14000
2c97,6.14000
2c6k,6.14000
1cw2,6.15000
3usn,6.15000
2gfs,6.15000
2ewy,6.15000
1bmb,6.15000
1zs0,6.15000
1w76,6.15000
1w6r,6.15000
1tkt,6.15000
2bz5,6.15000
1tsl,6.15000
1u0g,6.15000
1e02,6.15000
1ppc,6.16000
2evm,6.16000
2kce,6.17000
1yc1,6.17000
1shd,6.17000
1okv,6.17000
1ndy,6.17000
1d6v,6.17000
1sle,6.17000
1ke9,6.18000
1qf4,6.18000
1xhy,6.18000
2c3j,6.18000
2bt9,6.19000
1iy7,6.19000
1tq4,6.19000
1tpz,6.19000
1f92,6.19000
1dx6,6.19000
1v2k,6.19000
1jif,6.20000
1owe,6.20000
1sqt,6.20000
1tl3,6.20000
1wbs,6.20000
2aj8,6.20000
1aht,6.21000
1b3h,6.21000
2b17,6.21000
2g6p,6.22000
1ka7,6.22000
1kdv,6.22000
1bqn,6.22000
1fbm,6.22000
1fig,6.22000
1gi6,6.22000
2b53,6.22000
1m7d,6.23000
1pmu,6.23000
2fai,6.24000
2fix,6.24000
1ym1,6.24000
1tow,6.24000
1xn0,6.24000
1hnn,6.24000
1gnm,6.25000
1ke5,6.25000
1wzy,6.25000
1ykr,6.25000
1zky,6.25000
1oyn,6.26000
1wcq,6.26000
1inq,6.27000
1p06,6.27000
1pbq,6.27000
2nmb,6.28000
2hai,6.28000
2esm,6.28000
1ol2,6.28000
1w3l,6.28000
1mqg,6.28000
1ikv,6.28000
1atl,6.28000
1afl,6.28000
2aog,6.28000
1gui,6.28000
1yyr,6.29000
2ael,6.29000
2g0g,6.29000
1w25,6.30000
2fda,6.30000
2f3r,6.30000
1wm1,6.30000
1wdn,6.30000
1pwp,6.30000
1m5c,6.30000
1oxq,6.30000
1a5h,6.30000
1a2c,6.30000
1c7e,6.30000
1c9d,6.30000
1d4p,6.30000
1gqs,6.30000
1h24,6.30000
1hqh,6.30000
1lag,6.30000
