,PDBID,pK
283,3ovn,2.55
284,1gwv,2.57
285,2ria,2.57
286,2wq4,2.57
287,3kgp,2.57
288,2ay5,2.59
289,2jst,2.59
290,3gvb,2.59
291,4o3a,2.59
292,4o3c,2.59
293,4wef,2.59
294,1o4p,2.60
295,2c4v,2.60
296,2r5a,2.60
297,3gwv,2.60
298,3rxf,2.60
299,4up5,2.60
300,1cze,2.62
301,1w1y,2.62
302,2kfh,2.62
303,3f37,2.62
304,3f38,2.62
305,3fk1,2.62
306,3rxl,2.62
307,4lnf,2.62
308,4lno,2.62
309,1ajn,2.63
310,1g5f,2.64
311,1o4i,2.64
312,3p1d,2.64
313,4i8x,2.64
314,4q7w,2.64
315,4q8y,2.64
316,4ufl,2.64
317,1il5,2.66
318,3a1e,2.66
319,3rxb,2.66
320,4y2p,2.66
321,3lvw,2.67
322,1hgi,2.68
323,1o8b,2.68
324,2q72,2.68
325,3rxk,2.68
326,4b3c,2.68
327,4b3d,2.68
328,3elc,2.69
329,4usw,2.69
330,1br5,2.70
331,1gym,2.70
332,1lt5,2.70
333,1tc1,2.70
334,1ylv,2.70
335,2fzc,2.70
336,2ha4,2.70
337,2krd,2.70
338,2ohk,2.70
339,2ow6,2.70
340,2uyn,2.70
341,3bra,2.70
342,3ftz,2.70
343,3fud,2.70
344,3fuf,2.70
345,3fuh,2.70
346,3gk2,2.70
347,3gsg,2.70
348,3hvg,2.70
349,3rqw,2.70
350,3sl0,2.70
351,3zsw,2.70
352,3zsz,2.70
353,3zt1,2.70
354,4h4b,2.70
355,4okp,2.70
356,4old,2.70
357,4wks,2.70
358,4ypf,2.70
359,4yrc,2.70
360,4yrg,2.70
361,4yrr,2.70
362,5aok,2.70
363,4kpz,2.71
364,1pfu,2.72
365,2rkd,2.72
366,3p4r,2.72
367,1dg9,2.74
368,2qwb,2.74
369,2vyt,2.74
370,4m6u,2.74
371,4ndu,2.74
372,1rql,2.75
373,1ny2,2.76
374,4bt5,2.76
375,2bet,2.77
376,2p3o,2.77
377,3fcq,2.77
378,3l0n,2.77
379,4a4h,2.77
380,4g5y,2.77
381,4kz3,2.77
382,4urv,2.77
383,4ykk,2.77
384,2yiv,2.78
385,3ftw,2.78
386,4yrt,2.78
387,2bge,2.80
388,2bza,2.80
389,3zt4,2.80
390,4kz8,2.80
391,4urw,2.80
392,4yw2,2.80
393,3djx,2.81
394,4eh4,2.81
395,4oyt,2.81
396,4rrg,2.81
397,1czc,2.82
398,1p17,2.82
399,2a3a,2.82
400,2rib,2.82
401,2w6z,2.82
402,2xj0,2.82
403,2yc0,2.82
404,3fue,2.82
405,3lka,2.82
406,3ppr,2.82
407,4dsu,2.82
408,4k7i,2.82
409,4pb1,2.82
410,4z46,2.82
411,4yz5,2.83
412,3fu3,2.84
413,3moh,2.84
414,3zt2,2.84
415,4cgj,2.84
416,1il4,2.85
417,2a29,2.85
418,2ork,2.85
419,3atk,2.85
420,3k3g,2.85
421,3rxa,2.85
422,3udh,2.85
423,4luv,2.85
424,4mlt,2.85
425,4x47,2.85
426,4ym2,2.85
427,3qx8,2.86
428,3zt3,2.86
429,4ouj,2.86
430,4pd5,2.86
431,4fgz,2.87
432,1e34,2.88
433,2woq,2.88
434,4a4f,2.88
435,4ucv,2.88
436,1cet,2.89
437,1iih,2.89
438,1ugp,2.89
439,2k2r,2.89
440,2wpb,2.89
441,2wtx,2.89
442,3f36,2.89
443,3g31,2.89
444,4b35,2.89
445,4cd8,2.89
446,4gqq,2.89
447,4kzb,2.89
448,4llx,2.89
449,4u5u,2.89
450,4urx,2.89
451,5aes,2.89
452,3c2u,2.90
453,5aom,2.90
454,1ms0,2.91
455,2ay4,2.91
456,2pri,2.91
457,4kc1,2.91
458,1eef,2.92
459,1h2k,2.92
460,1o4k,2.92
461,1p6e,2.92
462,1zp5,2.92
463,2aa9,2.92
464,2aay,2.92
465,2fkf,2.92
466,2fw6,2.92
467,2fwp,2.92
468,2kfg,2.92
469,3alt,2.92
470,3iaf,2.92
471,3k8c,2.92
472,4ai5,2.92
473,4ef6,2.92
474,4lm3,2.92
475,4u4s,2.92
476,4x14,2.92
477,4y2q,2.92
478,5c0k,2.92
479,5ct2,2.92
480,1tng,2.93
481,3ftv,2.93
482,1p6d,2.94
483,2vmc,2.94
484,4y62,2.95
485,1f4e,2.96
486,1w1t,2.96
487,1ykp,2.96
488,2br6,2.96
489,2kdh,2.96
490,2w8j,2.96
491,3dhv,2.96
492,3g34,2.96
493,3imc,2.96
494,3img,2.96
495,4bgy,2.96
496,4dst,2.96
497,4k3l,2.96
498,4mrg,2.96
499,4owm,2.96
500,2hw2,2.97
501,4ceb,2.97
502,2rnw,2.98
503,3ckb,2.98
504,3djq,2.98
505,4ibc,2.98
506,5aba,2.98
507,3ump,2.99
508,4a4g,2.99
509,4bps,2.99
510,1ecq,3.00
511,1hqg,3.00
512,1mcz,3.00
513,1ux7,3.00
514,1w7h,3.00
515,1wbg,3.00
516,1wbo,3.00
517,1ws4,3.00
518,1yc5,3.00
519,1z9h,3.00
520,1zm7,3.00
521,2f1b,3.00
522,2h2e,3.00
523,2q8h,3.00
524,2r0y,3.00
525,2rka,3.00
526,2v3u,3.00
527,2vin,3.00
528,2vtm,3.00
529,2wa3,3.00
530,2xgm,3.00
531,2xgo,3.00
532,2xp3,3.00
533,2ych,3.00
534,3ap7,3.00
535,3d9o,3.00
536,3eka,3.00
537,3grj,3.00
538,3ime,3.00
539,3nf8,3.00
540,3nk8,3.00
541,3ob0,3.00
542,4b2i,3.00
543,4fe9,3.00
544,4k0o,3.00
545,4k5z,3.00
546,4k64,3.00
547,4k72,3.00
548,4l51,3.00
549,4l5j,3.00
550,4lkh,3.00
551,4llk,3.00
552,4m5r,3.00
553,4o7d,3.00
554,4oyp,3.00
555,4oz2,3.00
556,4r3w,3.00
557,4txs,3.00
558,4u0w,3.00
559,4wh9,3.00
560,5a5o,3.00
561,5c7b,3.00
562,1g42,3.01
563,1utm,3.01
564,4g0p,3.01
565,2vmd,3.02
566,3dc2,3.02
567,3fuk,3.02
568,4q81,3.02
569,4xm8,3.02
570,1ogd,3.03
571,1ws5,3.03
572,2ggu,3.03
573,2ha3,3.03
574,3adv,3.03
575,3esj,3.03
576,4lm2,3.03
577,4qp2,3.03
578,5aoi,3.03
579,1rtf,3.04
580,2pcu,3.04
581,3ay0,3.04
582,3t08,3.04
583,3t1m,3.04
584,3zvv,3.04
585,4i7k,3.04
586,4lm4,3.04
587,1f74,3.05
588,1gvk,3.05
589,1gzg,3.05
590,1o41,3.05
591,1pum,3.05
592,1uj5,3.05
593,1uj6,3.05
594,2ohl,3.05
595,2vcw,3.05
596,4g5f,3.05
597,4guj,3.05
598,4u5v,3.05
599,5abe,3.05
600,2jfh,3.06
601,2ksa,3.06
602,3atm,3.06
603,3hw1,3.06
604,3rxi,3.06
605,3rxj,3.06
606,4csy,3.06
607,4nyi,3.06
608,1rnm,3.07
609,1s26,3.07
610,3mof,3.07
611,4yrs,3.07
612,1hiy,3.08
613,1y1z,3.08
614,4yv1,3.08
615,1mdl,3.09
616,1ugw,3.09
617,4eh5,3.09
618,1a5v,3.10
619,1af2,3.10
620,1ec9,3.10
621,1pu7,3.10
622,1pu8,3.10
623,1swi,3.10
624,2xdl,3.10
625,3buf,3.10
626,3f78,3.10
627,3mo8,3.10
628,4cjr,3.10
629,4j79,3.10
630,4kz6,3.10
631,4pxf,3.10
632,4y2j,3.10
633,4y64,3.10
634,1k2i,3.11
635,1uod,3.11
636,2ay6,3.11
637,2lto,3.11
638,2lwi,3.11
639,3c2r,3.11
640,3msj,3.11
641,4aj1,3.11
642,4ajk,3.11
643,4d52,3.11
644,4gbz,3.11
645,4wf4,3.11
646,1h9l,3.12
647,2ksb,3.12
648,4bt3,3.12
649,4cgi,3.12
650,4uct,3.12
651,1ax0,3.13
652,3kac,3.13
653,5c5t,3.13
654,2f1a,3.14
655,2ya7,3.14
656,3odk,3.14
657,4b34,3.14
658,1e6q,3.15
659,1eei,3.15
660,1k9q,3.15
661,1noi,3.15
662,1noj,3.15
663,1nok,3.15
664,1rin,3.15
665,2fr8,3.15
666,2p8n,3.15
667,3cgy,3.15
668,3e73,3.15
669,4de5,3.15
670,4fzj,3.15
671,4lw1,3.15
672,4x0z,3.15
673,2ymd,3.16
674,3ad8,3.16
675,3ecn,3.16
676,3f34,3.16
677,3f35,3.16
678,3kpu,3.16
679,3lk0,3.16
680,4eh2,3.16
681,4hnc,3.17
682,4uce,3.17
683,4x3i,3.17
684,1b9s,3.18
685,1lbk,3.18
686,1ro7,3.18
687,2wik,3.18
688,3at1,3.18
689,3bug,3.18
690,3kid,3.18
691,1o6i,3.19
692,2zdx,3.19
693,3dxh,3.19
694,3g1v,3.19
695,4gzx,3.19
696,4mlx,3.19
697,1axz,3.20
698,2w0x,3.20
699,2wij,3.20
700,3kab,3.20
701,4elc,3.20
702,4nrm,3.20
703,5d9p,3.20
704,1s5z,3.21
705,3fty,3.21
706,6tim,3.21
707,1br6,3.22
708,1e6s,3.22
709,1e72,3.22
710,1evh,3.22
711,1ew9,3.22
712,1k1y,3.22
713,1q5l,3.22
714,1qwu,3.22
715,1tog,3.22
716,1x6u,3.22
717,1zc9,3.22
718,2bv4,3.22
719,2ri9,3.22
720,2uy3,3.22
721,3aru,3.22
722,3i8t,3.22
723,4n5d,3.22
724,4tyl,3.22
725,1px4,3.23
726,2gmk,3.23
727,3zsy,3.23
728,4kc4,3.23
729,4lm1,3.23
730,4unp,3.23
731,1gx4,3.24
732,2r8q,3.24
733,3qfz,3.24
734,4b2l,3.24
735,4k60,3.24
736,4luo,3.24
737,4qlk,3.24
738,4y2u,3.24
739,1v2j,3.25
740,3ta1,3.25
741,4lm0,3.25
742,1l5s,3.26
743,3t1l,3.26
744,4egh,3.26
745,4k66,3.26
746,4wkt,3.26
747,5yas,3.26
748,1axr,3.27
749,3ioe,3.27
750,4jbl,3.27
751,1bcu,3.28
752,1g9t,3.28
753,1x07,3.28
754,2xgs,3.28
755,3d52,3.28
756,3ms4,3.28
757,3tfu,3.28
758,3zsx,3.28
759,4eh7,3.28
760,4fl1,3.28
761,4yv0,3.28
762,1ax1,3.29
763,4f20,3.29
764,1d7j,3.30
765,1k9r,3.30
766,1lt6,3.30
767,1o4e,3.30
768,1phw,3.30
769,1tpw,3.30
770,1zd2,3.30
771,1zd3,3.30
772,2aq7,3.30
773,2aqb,3.30
774,2hd1,3.30
775,2uxx,3.30
776,2vw2,3.30
777,2w0s,3.30
778,2xml,3.30
779,3aaq,3.30
780,3avg,3.30
781,3avh,3.30
782,3avi,3.30
783,3avj,3.30
784,3avk,3.30
785,3avm,3.30
786,3avn,3.30
787,3ch9,3.30
788,3gv6,3.30
789,3h2c,3.30
790,3hcm,3.30
791,3i90,3.30
792,3i91,3.30
793,3l7g,3.30
794,3n1v,3.30
795,3n1w,3.30
796,3n3l,3.30
797,3n45,3.30
798,4b6f,3.30
799,4ddh,3.30
800,4gj8,3.30
801,4gj9,3.30
802,4jss,3.30
803,4mrw,3.30
804,4msa,3.30
805,4np3,3.30
806,4ojq,3.30
807,4oue,3.30
808,4tz8,3.30
809,4u6e,3.30
810,4ucr,3.30
811,4x13,3.30
812,1i2s,3.31
813,1pzp,3.31
814,3msc,3.31
815,4kc2,3.31
816,5c7a,3.31
817,1pzo,3.32
818,2wk6,3.32
819,4a4e,3.32
820,4cjp,3.32
821,4i7j,3.32
822,188l,3.33
823,1jlr,3.33
824,2a3b,3.33
825,2pnc,3.33
826,4ab9,3.33
827,4b0b,3.33
828,4b5t,3.33
829,4b5w,3.33
830,4k2y,3.33
831,4pd9,3.33
832,2xoi,3.34
833,3f33,3.34
834,3ry8,3.34
835,4b32,3.34
836,4bt4,3.34
837,4cp5,3.34
838,4gwk,3.34
839,4yuy,3.34
840,2qcm,3.35
841,3c2o,3.35
842,3pwk,3.35
843,3zxe,3.35
844,4gnf,3.35
845,4joh,3.35
846,4lkq,3.35
847,4ucu,3.35
848,4wet,3.35
849,1ahy,3.36
850,2ha7,3.36
851,2pvv,3.36
852,2vc7,3.36
853,3av9,3.36
854,3zzh,3.36
855,4cj4,3.36
856,4wyp,3.36
857,187l,3.37
858,1tnh,3.37
859,1v2u,3.37
860,1v2v,3.37
861,2c6g,3.37
862,3d8z,3.37
863,3n35,3.37
864,4b33,3.37
865,4mrd,3.37
866,1z34,3.38
867,2fzg,3.38
868,3a73,3.38
869,3tay,3.38
870,3w07,3.38
871,4qll,3.38
872,1toj,3.39
873,2j9h,3.39
874,3mrx,3.39
875,4ipn,3.39
876,4lhm,3.39
877,4ms0,3.39
878,1bxr,3.40
879,1f8d,3.40
880,1hxk,3.40
881,1ikt,3.40
882,1il9,3.40
883,1jt1,3.40
884,1l83,3.40
885,1m83,3.40
886,1uz4,3.40
887,1way,3.40
888,220l,3.40
889,223l,3.40
890,2jbu,3.40
891,2jqk,3.40
892,2q8i,3.40
893,2qcd,3.40
894,2rnx,3.40
895,2vvp,3.40
896,3d8y,3.40
897,3jzh,3.40
898,3k26,3.40
899,4abe,3.40
900,5afl,3.40
901,2v2c,3.41
902,3nba,3.41
903,4yas,3.41
904,1hyz,3.42
905,2qtn,3.42
906,2sim,3.42
907,2w08,3.42
908,3iob,3.42
909,3kqp,3.42
910,3muk,3.42
911,3px9,3.42
912,4c71,3.42
913,4d8a,3.42
914,4llj,3.42
915,4mi9,3.42
916,4n8q,3.42
917,1kti,3.43
918,1ywi,3.43
919,2c57,3.43
920,2wig,3.43
921,2xog,3.43
922,3axz,3.43
923,3ms7,3.43
924,4k67,3.43
925,4kw6,3.43
926,2xp5,3.44
927,3as2,3.44
928,4b4n,3.44
929,4umc,3.44
930,3nik,3.45
931,4c6z,3.45
932,1moq,3.46
933,1t48,3.46
934,1wcc,3.46
935,2wi2,3.46
936,2wi3,3.46
937,2zfi,3.46
938,3blu,3.46
939,3dla,3.46
940,3muz,3.46
941,3nil,3.46
942,3nuy,3.46
943,4bhf,3.46
944,4gby,3.46
945,4k5p,3.46
946,4nrq,3.46
947,4qp6,3.46
948,4tz2,3.46
949,3mtd,3.47
950,3nf7,3.47
951,3ta0,3.47
952,4d2d,3.47
953,4epy,3.47
954,4h42,3.47
955,5ai4,3.47
956,1osv,3.48
957,1tsi,3.48
958,2c90,3.48
959,2f10,3.48
960,2p3i,3.48
961,3d9m,3.48
962,3g1d,3.48
963,3gx0,3.48
964,3nyd,3.48
965,4k7n,3.48
966,1c5o,3.49
967,1gzc,3.49
968,1pzj,3.49
969,1utn,3.49
970,2ggx,3.49
971,2qcf,3.49
972,3d1v,3.49
973,4avs,3.49
974,4b5s,3.49
975,4nyj,3.49
976,5ak6,3.49
977,3fcl,3.50
978,4i7p,3.50
979,4n3w,3.50
980,4wey,3.50
981,1gz9,3.51
982,2ohm,3.51
983,2r0h,3.51
984,3nus,3.51
985,4lpf,3.51
986,5cp9,3.51
987,1imx,3.52
988,1jys,3.52
989,1o4d,3.52
990,1o4f,3.52
991,1ysg,3.52
992,2fyv,3.52
993,2j27,3.52
994,2vw1,3.52
995,3c14,3.52
996,3lcu,3.52
997,3mfw,3.52
998,3qw6,3.52
999,3tf7,3.52
1000,3zlv,3.52
1001,3zly,3.52
1002,4c70,3.52
1003,4eky,3.52
1004,4g93,3.52
1005,4hv7,3.52
1006,4mrz,3.52
1007,4oyo,3.52
1008,2b4m,3.53
1009,2y67,3.53
1010,3avf,3.53
1011,3h06,3.53
1012,3nf6,3.53
1013,4eh3,3.53
1014,4nmr,3.53
1015,4orx,3.53
1016,4ory,3.53
1017,185l,3.54
1018,1vjd,3.54
1019,2jbv,3.54
1020,2o9v,3.54
1021,3blt,3.54
1022,3bm8,3.54
1023,3nf9,3.54
1024,3obq,3.54
1025,4gng,3.54
1026,1v2r,3.55
1027,2ay3,3.55
1028,2cle,3.55
1029,2clf,3.55
1030,2clm,3.55
1031,2hwg,3.55
1032,2qwc,3.55
1033,2xah,3.55
1034,3pjg,3.55
1035,3qvu,3.55
1036,4aji,3.55
1037,4k3m,3.55
1038,4mjr,3.55
1039,4n98,3.55
1040,4nym,3.55
1041,5av0,3.55
1042,5btx,3.55
1043,2hrm,3.56
1044,2lsp,3.56
1045,2ycm,3.56
1046,4joe,3.56
1047,1h46,3.57
1048,1jwm,3.57
1049,1np0,3.57
1050,2l1r,3.57
1051,2rly,3.57
1052,3ej5,3.57
1053,3ff3,3.57
1054,4abg,3.57
1055,4ck3,3.57
1056,4ibb,3.57
1057,4q8x,3.57
1058,4xm7,3.57
1059,5a7b,3.57
1060,1vjc,3.58
1061,3dx1,3.58
1062,4g19,3.58
1063,4y63,3.58
1064,1gww,3.59
1065,1nli,3.59
1066,2gsu,3.59
1067,2nn8,3.59
1068,2pgj,3.59
1069,2pgl,3.59
1070,3sl1,3.59
1071,4cd6,3.59
1072,4cjq,3.59
1073,4k3r,3.59
1074,4q7v,3.59
1075,1bo5,3.60
1076,1d1p,3.60
1077,1d7i,3.60
1078,1qw7,3.60
1079,1uys,3.60
1080,1w31,3.60
1081,1zd4,3.60
1082,2bgr,3.60
1083,2fzk,3.60
1084,2oq6,3.60
1085,2q6h,3.60
1086,2qch,3.60
1087,2qpu,3.60
1088,2wp1,3.60
1089,2xdk,3.60
1090,2y68,3.60
1091,3afk,3.60
1092,3b3x,3.60
1093,3bb1,3.60
1094,3g0i,3.60
1095,3jdw,3.60
1096,3kn0,3.60
1097,3m3o,3.60
1098,3pke,3.60
1099,3t2p,3.60
1100,4b3b,3.60
1101,4c1y,3.60
1102,4meo,3.60
1103,4meq,3.60
1104,8gpb,3.60
1105,1g9s,3.61
1106,2kff,3.61
1107,2l98,3.61
1108,2vfz,3.61
1109,3ftu,3.61
1110,3jzj,3.61
1111,3sk2,3.61
1112,4a4c,3.61
1113,4ln2,3.61
1114,4qp1,3.61
1115,5c91,3.61
1116,1pb9,3.62
1117,3pcc,3.62
1118,3st6,3.62
1119,3udj,3.62
1120,4bkt,3.62
1121,4fxj,3.62
1122,4nrc,3.62
1123,4rrf,3.62
1124,4wy3,3.62
1125,4yym,3.62
1126,3fuj,3.63
1127,3jpx,3.63
1128,3rxm,3.63
1129,4mm7,3.63
1130,5dqe,3.63
1131,1gyy,3.64
1132,1j5i,3.64
1133,2azr,3.64
1134,2pem,3.64
1135,2qwg,3.64
1136,2rk8,3.64
1137,3px8,3.64
1138,4bdi,3.64
1139,4gui,3.64
1140,4iuo,3.64
1141,1b9v,3.65
1142,3vws,3.65
1143,4agl,3.65
1144,4y4v,3.65
1145,1l6y,3.66
1146,2qv7,3.66
1147,2rny,3.66
1148,2v00,3.66
1149,3buh,3.66
1150,3ex6,3.66
1151,3iny,3.66
1152,3oy8,3.66
1153,3pcn,3.66
1154,3t2q,3.66
1155,3tsd,3.66
1156,4aia,3.66
1157,4fl2,3.66
1158,2bve,3.67
1159,3fts,3.67
1160,3h2m,3.67
1161,3h2n,3.67
1162,4cig,3.67
1163,4ibd,3.67
1164,4lnp,3.67
1165,4mww,3.67
1166,4n99,3.67
1167,1c3x,3.68
1168,1qsc,3.68
1169,2x6x,3.68
1170,2za3,3.68
1171,3ioc,3.68
1172,3isj,3.68
1173,3uwl,3.68
1174,4aje,3.68
1175,4io7,3.68
1176,4isu,3.68
1177,4mx1,3.68
1178,4oru,3.68
1179,1l2z,3.69
1180,2a8g,3.69
1181,3clp,3.69
1182,3d7b,3.69
1183,4gwi,3.69
1184,4ovg,3.69
1185,4tte,3.69
1186,5ai0,3.69
1187,1bcj,3.70
1188,1e37,3.70
1189,1fwu,3.70
1190,1gz3,3.70
1191,1gz4,3.70
1192,1h0r,3.70
1193,1i43,3.70
1194,1loq,3.70
1195,1pdz,3.70
1196,1uy6,3.70
1197,1uy7,3.70
1198,1uyd,3.70
1199,1uye,3.70
1200,1w70,3.70
1201,1wht,3.70
1202,2bjm,3.70
1203,2bmz,3.70
1204,2bvr,3.70
1205,2fx6,3.70
1206,3ex2,3.70
1207,3ful,3.70
1208,3kd7,3.70
1209,3l59,3.70
1210,3mrt,3.70
1211,3n7a,3.70
1212,3zlw,3.70
1213,4ayt,3.70
1214,4ayx,3.70
1215,4b2d,3.70
1216,4kza,3.70
1217,4l7h,3.70
1218,4l7j,3.70
1219,4o4k,3.70
1220,4pji,3.70
1221,5c6o,3.70
1222,5c6p,3.70
1223,2vfk,3.71
1224,3fj7,3.71
1225,3g32,3.71
1226,3wkc,3.71
1227,4k5m,3.71
1228,4mjq,3.71
1229,1ai5,3.72
1230,1fwv,3.72
1231,1grp,3.72
1232,1ugy,3.72
1233,2am4,3.72
1234,2h9p,3.72
1235,2r23,3.72
1236,2yde,3.72
1237,3f5l,3.72
1238,3ms2,3.72
1239,3q6z,3.72
1240,4jog,3.72
1241,4tk1,3.72
1242,4tk2,3.72
1243,4tln,3.72
1244,4ufm,3.72
1245,1b2m,3.73
1246,2vta,3.73
1247,3ati,3.73
1248,3fjg,3.73
1249,3h91,3.73
1250,3rxd,3.73
1251,4fz3,3.73
1252,4y5s,3.73
1253,1f5k,3.74
1254,1ihy,3.74
1255,1oh4,3.74
1256,2dwx,3.74
1257,2wq5,3.74
1258,2xp4,3.74
1259,3kpv,3.74
1260,3mrv,3.74
1261,3v30,3.74
1262,4bv2,3.74
1263,4pre,3.74
1264,4yux,3.74
1265,2iyf,3.75
1266,2pyi,3.75
1267,3d6p,3.75
1268,3gep,3.75
1269,4kov,3.75
1270,2x09,3.76
1271,3d6q,3.76
1272,4c6x,3.76
1273,4tu4,3.76
1274,4w52,3.76
1275,1kui,3.77
1276,1mpl,3.77
1277,2uuo,3.77
1278,2v2h,3.77
1279,2xaj,3.77
1280,2y9g,3.77
1281,3ao2,3.77
